student_id,attendance,grades,assignments,participation,success
1,85,87,84,66,1
2,51,71,50,33,0
3,50,61,61,70,0
4,83,76,78,67,1
5,86,68,56,55,1
6,100,78,97,69,1
7,89,64,75,72,1
8,51,84,68,65,1
9,99,70,81,84,1
10,52,68,77,59,1
11,80,66,87,76,1
12,57,58,63,57,0
13,59,71,30,81,0
14,69,49,63,85,1
15,68,74,77,52,1
16,88,56,58,50,1
17,55,56,62,50,0
18,85,74,66,56,1
19,65,79,45,64,1
20,65,70,61,66,1
21,81,78,60,57,1
22,86,62,59,69,1
23,60,66,47,62,0
24,82,58,61,72,1
25,53,59,63,68,0
26,85,73,81,85,1
27,83,82,74,84,1
28,80,70,70,64,1
29,91,92,90,67,1
30,66,47,77,73,1
31,74,88,68,57,1
32,93,42,84,97,1
33,100,59,53,58,1
34,68,68,68,45,1
35,94,97,56,53,1
36,52,56,89,48,1
37,98,78,62,69,1
38,50,80,77,70,1
39,49,78,60,76,1
40,80,83,77,81,1
41,83,64,73,42,1
42,57,61,61,47,0
43,87,65,58,59,1
44,59,65,67,63,1
45,80,72,78,84,1
46,59,73,68,64,1
47,66,76,70,58,1
48,53,57,59,31,0
49,81,50,73,69,1
50,51,57,56,49,0
51,71,50,71,44,1
52,51,35,84,70,0
53,96,80,63,74,1
54,72,81,73,79,1
55,100,87,65,80,1
56,48,52,53,45,0
57,45,90,56,65,1
58,76,64,40,68,1
59,48,64,63,34,0
60,95,91,57,72,1
61,91,88,70,65,1
62,63,60,66,68,1
63,92,54,64,86,1
64,77,76,83,56,1
65,48,68,61,68,0
66,88,87,79,55,1
67,81,71,87,54,1
68,82,63,58,60,1
69,61,72,86,63,1
70,87,84,60,53,1
71,93,75,70,53,1
72,51,54,72,66,0
73,61,74,75,73,1
74,63,71,80,86,1
75,90,62,100,73,1
76,87,58,74,55,1
77,87,92,87,63,1
78,92,98,60,63,1
79,83,74,81,54,1
80,77,48,38,67,0
81,99,91,78,70,1
82,66,64,69,42,1
83,61,73,78,57,1
84,52,50,89,75,1
85,54,43,56,54,0
86,53,61,76,65,1
87,95,77,70,53,1
88,87,86,89,82,1
89,100,61,83,88,1
90,100,98,85,91,1
91,56,67,62,61,1
92,71,58,76,36,1
93,96,74,80,63,1
94,47,52,69,52,0
95,97,84,65,81,1
96,59,44,74,64,0
97,66,67,71,65,1
98,77,59,36,90,1
99,79,69,71,73,1
100,82,65,79,63,1
101,51,55,56,65,0
102,77,57,90,86,1
103,57,65,86,96,1
104,79,71,55,32,1
105,92,68,59,87,1
106,66,75,51,48,1
107,52,63,52,55,0
108,70,80,61,46,1
109,57,41,80,48,0
110,84,48,56,59,1
111,98,84,72,50,1
112,86,79,63,81,1
113,88,75,85,88,1
114,55,53,58,51,0
115,87,65,60,77,1
116,88,54,60,92,1
117,54,74,65,33,1
118,49,67,35,69,0
119,81,77,89,54,1
120,86,72,58,37,1
121,100,76,65,60,1
122,89,76,66,66,1
123,60,72,61,73,1
124,78,80,87,63,1
125,93,86,59,64,1
126,98,61,84,59,1
127,55,65,48,61,0
128,85,81,65,92,1
129,76,63,60,76,1
